011110100001100001100001111111100001100001100001,100000000000000000000000000000000000,A
111111100001100001111110100001100001100001111111,010000000000000000000000000000000000,B
111111100001100000100000100000100000100001111111,001000000000000000000000000000000000,C
111110100001100001100001100001100001100001111110,000100000000000000000000000000000000,D
111111100000100000111100100000100000100000111111,000010000000000000000000000000000000,E
111111100000100000111100100000100000100000100000,000001000000000000000000000000000000,F
111111100001100000100000100111100001100001111111,000000100000000000000000000000000000,G
100001100001100001111111100001100001100001000000,000000010000000000000000000000000000,H
011100001000001000001000001000001000001000011100,000000001000000000000000000000000000,I
011100001000001000001000101000101000101000011000,000000000100000000000000000000000000,J
001001001010001100001000001000001100001010001001,000000000010000000000000000000000000,K
100000100000100000100000100000100000100000111100,000000000001000000000000000000000000,L
000000100010110110101010100010100010100010100010,000000000000100000000000000000000000,M
000000100001110001101001100101100011100001000000,000000000000010000000000000000000000,N
001100010010010010010010010010010010010010001100,000000000000001000000000000000000000,O
111000101000101000111000100000100000100000100000,000000000000000100000000000000000000,P
011000100100100100100100100100011000000100000010,000000000000000010000000000000000000,Q
111000100100100100100100111000100100100100100100,000000000000000001000000000000000000,R
000000001110010000010000001100000010000010011100,000000000000000000100000000000000000,S
011100001000001000001000001000001000001000001000,000000000000000000010000000000000000,T
010010010010010010010010010010010010010010011110,000000000000000000001000000000000000,U
010010010010010010010010010010010010010010001100,000000000000000000000100000000000000,V
000000010001010001010001010101010101010101011111,000000000000000000000010000000000000,W
000000000000100001010010001100001100010010100001,000000000000000000000001000000000000,X
010100010100010100010100011100001000001000001000,000000000000000000000000100000000000,Y
011110000010000100001000010000011110000000000000,000000000000000000000000010000000000,Z
011100010100010100010100010100010100010100011100,000000000000000000000000001000000000,0
001000001000001000001000001000001000001000001000,000000000000000000000000000100000000,1
001111000001000001001111001000001000001111000000,000000000000000000000000000010000000,2
000111000001000001000111000001000001000111000000,000000000000000000000000000001000000,3
010010010010010010011110000010000010000010000010,000000000000000000000000000000100000,4
000000011110010000010000011110000010000010011110,000000000000000000000000000000010000,5
000000011110010000010000011110010010010010011110,000000000000000000000000000000001000,6
011110010010010010010000010000010000010000010000,000000000000000000000000000000000100,7
000000011110010010010010011110010010010010011110,000000000000000000000000000000000010,8
001110001010001010001010001110000010000010000010,000000000000000000000000000000000001,9


//2 BITS
100111000001010001000111000001000001000111000000,000000000000000000000000000001000000,3
010010010010010010011110000010010010000010100010,000000000000000000000000000000100000,4
100000011110010000010000011110000010000011011110,000000000000000000000000000000010000,5
100000011110010000010000011110010010010010011111,000000000000000000000000000000001000,6
000100100001110001101001100101100011100001010000,000000000000010000000000000000000000,N
101100010010010010010010010010010010010010001101,000000000000001000000000000000000000,O
111001101000101000111000100000100000100100100000,000000000000000100000000000000000000,P
011001100100100100100100100100011000000100100010,000000000000000010000000000000000000,Q
011110100001101001100001111111100001100001101001,100000000000000000000000000000000000,A
111111100001100001111110100001101011100001111111,010000000000000000000000000000000000,B
011110010010010010010000010010010000010000011000,000000000000000000000000000000000100,7
100000011110010010010010011110010010010010011111,000000000000000000000000000000000010,8
001110001010001010101010001110000010000010010010,000000000000000000000000000000000001,9
111111100000100000111101100000100000100000101000,000001000000000000000000000000000000,F
111111100001100000110000100111101001100001111111,000000100000000000000000000000000000,G
100001100001100001111111100001100101100001010000,000000010000000000000000000000000000,H
011100001001001000001000001001001000001000011100,000000001000000000000000000000000000,I
100000010001010001010001010101010101010101111111,000000000000000000000010000000000000,W
001010000000100001010010001100001100010010100001,000000000000000000000001000000000000,X
010100010100010100010100011101001000001000001001,000000000000000000000000100000000000,Y


//6BITS
101111000001010001000111010001000001000111101000,000000000000000000000000000001000000,3
110011010010010011111110000010010010000010100010,000000000000000000000000000000100000,4
100001011110010000110000011110000010000011111111,000000000000000000000000000000010000,5
100000011110010000010000011110010010010010011111,000000000000000000000000000000001000,6
010101100001110001101001100101100011100001010101,000000000000010000000000000000000000,N
101101010010010010110010010011010010010010101101,000000000000001000000000000000000000,O
111101101000101000111000100011100000100100100001,000000000000000100000000000000000000,P
111001100100100100100101100100011000000101101010,000000000000000010000000000000000000,Q
011110100001101111100001111111100001100001101111,100000000000000000000000000000000000,A
111111110101100001111110100001101011110101111111,010000000000000000000000000000000000,B
111111010010010010010000010010010000010000111001,000000000000000000000000000000000100,7
100001011110010010110011011110010010010010111111,000000000000000000000000000000000010,8
101110001011001010101010001110100010000010010011,000000000000000000000000000000000001,9
111111100000100000111101101000100100100000101011,000001000000000000000000000000000000,F
111111100101100000110001100111111001100011111111,000000100000000000000000000000000000,G
110001100101100001111111110001100101100001011000,000000010000000000000000000000000000,H
111100001001001000101000001011001000001000111100,000000001000000000000000000000000000,I
100100010001010101010001110101011101010101111111,000000000000000000000010000000000000,W
101010000000100001010010001101101100010010101001,000000000000000000000001000000000000,X
010111010100010100110100011101001000001000101001,000000000000000000000000100000000000,Y


//12 BITS

101111000001010001101111010001101001000111101011,000000000000000000000000000001000000,3
111011010110010011111110000011011010000110101011,000000000000000000000000000000100000,4
100001011110010001110000011111101010010111111111,000000000000000000000000000000010000,5
100101011111110100010001111110010011010010111111,000000000000000000000000000000001000,6
010101101011110101101001100101100011101001110111,000000000000010000000000000000000000,N
101101110010010011111010010011110110010011101101,000000000000001000000000000000000000,O
111101101001101001111000100011100000101101110101,000000000000000100000000000000000000,P
111001100110110100100111100100011010100101111010,000000000000000010000000000000000000,Q
111111100001101111100001111111101011110101101111,100000000000000000000000000000000000,A
111111110111101011111110100101111011110111111111,010000000000000000000000000000000000,B
111111010010011011010100010011011000010001111001,000000000000000000000000000000000100,7
101101111111010010110011011110110011010010111111,000000000000000000000000000000000010,8
111110011011011010111010001110110010000010110011,000000000000000000000000000000000001,9
111111100100101010111101101000100100110101101011,000001000000000000000000000000000000,F
111111110111101000110101100111111101101011111111,000000100000000000000000000000000000,G
110011101111100001111111110011100101100001111001,000000010000000000000000000000000000,H
111100001001001000101000001011001011001011111111,000000001000000000000000000000000000,I
101110011111010101010011110101011111010101111111,000000000000000000000010000000000000,W
101011010100100001010010001101101100010010101111,000000000000000000000001000000000000,X
110111110100010100110100111101001000101000101111,000000000000000000000000100000000000,Y

//Aleatórios
001100001100001100001100001100001100001100010010,000000000000000000000000100000000000
000001000001100010100010010100010100001000001000,000000000000000000000000100000000000
000001100000000010001100001010010001000010000101,000000000000000000000000100000000000
010001010001010001001010101010001010000100000100,000000000000000000000000100000000000
100010100010100010100010100010100010100010100010,000000000000000000000000100000000000
100000110000011000001100000110000011000001000001,000000000000000000000000100000000000

