011110100001100001100001111111100001100001100001,000000
111111100001100001111110100001100001100001111111,000001
111111100001100000100000100000100000100001111111,000010
111110100001100001100001100001100001100001111110,000011
111111100000100000111100100000100000100000111111,000100
111111100000100000111100100000100000100000100000,000101
111111100001100000100000100111100001100001111111,000110
100001100001100001111111100001100001100001000000,000111
011100001000001000001000001000001000001000011100,001000
011100001000001000001000101000101000101000011000,001001
001001001010001100001000001000001100001010001001,001010
100000100000100000100000100000100000100000111100,001011
000000100010110110101010100010100010100010100010,001100
000000100001110001101001100101100011100001000000,001101
001100010010010010010010010010010010010010001100,001110
111000101000101000111000100000100000100000100000,001111
011000100100100100100100100100011000000100000010,010000
111000100100100100100100111000100100100100100100,010001
000000001110010000010000001100000010000010011100,010010
011100001000001000001000001000001000001000001000,010011
010010010010010010010010010010010010010010011110,010100
010010010010010010010010010010010010010010001100,010101
000000000000100001010010001100001100010010100001,010110
011110000010000100001000010000011110000000000000,010111
011100010100010100010100010100010100010100011100,011000
001000001000001000001000001000001000001000001000,011001
001111000001000001001111001000001000001111000000,011010
000111000001000001000111000001000001000111000000,011011
010010010010010010011110000010000010000010000010,011100
000000011110010000010000011110000010000010011110,011101
000000011110010000010000011110010010010010011110,011110
011110010010010010010000010000010000010000010000,011111
000000011110010010010010011110010010010010011110,100000
001110001010001010001010001110000010000010000010,100001
