011110100001100001100001111111100001100001100001,000000000000000000000000000000000001,A
111111100001100001111110100001100001100001111111,000000000000000000000000000000000010,B
111111100001100000100000100000100000100001111111,000000000000000000000000000000000100,C
111110100001100001100001100001100001100001111110,000000000000000000000000000000001000,D
111111100000100000111100100000100000100000111111,000000000000000000000000000000010000,E
111111100000100000111100100000100000100000100000,000000000000000000000000000000100000,F
111111100001100000100000100111100001100001111111,000000000000000000000000000001000000,G
100001100001100001111111100001100001100001000000,000000000000000000000000000010000000,H
011100001000001000001000001000001000001000011100,000000000000000000000000000100000000,I
011100001000001000001000101000101000101000011000,000000000000000000000000001000000000,J
001001001010001100001000001000001100001010001001,000000000000000000000000010000000000,K
100000100000100000100000100000100000100000111100,000000000000000000000000100000000000,L
000000100010110110101010100010100010100010100010,000000000000000000000001000000000000,M
000000100001110001101001100101100011100001000000,000000000000000000000010000000000000,N
001100010010010010010010010010010010010010001100,000000000000000000000100000000000000,O
111000101000101000111000100000100000100000100000,000000000000000000001000000000000000,P
011000100100100100100100100100011000000100000010,000000000000000000010000000000000000,Q
111000100100100100100100111000100100100100100100,000000000000000000100000000000000000,R
000000001110010000010000001100000010000010011100,000000000000000001000000000000000000,S
011100001000001000001000001000001000001000001000,000000000000000010000000000000000000,T
010010010010010010010010010010010010010010011110,000000000000000100000000000000000000,U
010010010010010010010010010010010010010010001100,000000000000001000000000000000000000,V
000000010001010001010001010101010101010101011111,000000000000010000000000000000000000,W
000000000000100001010010001100001100010010100001,000000000000100000000000000000000000,X
010100010100010100010100011100001000001000001000,000000000001000000000000000000000000,Y
011110000010000100001000010000011110000000000000,000000000010000000000000000000000000,Z
011100010100010100010100010100010100010100011100,000000000100000000000000000000000000,0
001000001000001000001000001000001000001000001000,000000001000000000000000000000000000,1
001111000001000001001111001000001000001111000000,000000010000000000000000000000000000,2
000111000001000001000111000001000001000111000000,000000100000000000000000000000000000,3
010010010010010010011110000010000010000010000010,000001000000000000000000000000000000,4
000000011110010000010000011110000010000010011110,000010000000000000000000000000000000,5
000000011110010000010000011110010010010010011110,000100000000000000000000000000000000,6
011110010010010010010000010000010000010000010000,001000000000000000000000000000000000,7
000000011110010010010010011110010010010010011110,010000000000000000000000000000000000,8
001110001010001010001010001110000010000010000010,100000000000000000000000000000000000,9
